time	 C45e	 C47e	 C49e	 B62e	 B64e	 B66e	 B68e
507.96	 9.645E-10	 4.094E-09	 6.150E-09	 3.857E-08	 3.150E-07	 8.574E-07	 7.779E-07
512.94	 8.568E-10	 4.461E-09	 5.890E-09	 4.175E-08	 3.277E-07	 8.630E-07	 7.563E-07
517.92	 8.986E-10	 4.529E-09	 5.781E-09	 4.492E-08	 3.408E-07	 8.678E-07	 7.353E-07
522.90	 9.418E-10	 4.592E-09	 5.675E-09	 4.828E-08	 3.537E-07	 8.714E-07	 7.153E-07
527.88	 9.853E-10	 4.654E-09	 5.570E-09	 5.171E-08	 3.667E-07	 8.748E-07	 6.956E-07
532.86	 1.030E-09	 4.711E-09	 5.468E-09	 5.534E-08	 3.795E-07	 8.772E-07	 6.768E-07
537.84	 1.074E-09	 4.767E-09	 5.367E-09	 5.903E-08	 3.922E-07	 8.793E-07	 6.582E-07
542.82	 1.120E-09	 4.820E-09	 5.268E-09	 6.285E-08	 4.049E-07	 8.808E-07	 6.402E-07
547.80	 1.165E-09	 4.872E-09	 5.171E-09	 6.675E-08	 4.175E-07	 8.820E-07	 6.225E-07
552.78	 1.211E-09	 4.922E-09	 5.075E-09	 7.078E-08	 4.299E-07	 8.827E-07	 6.053E-07
557.76	 1.258E-09	 4.970E-09	 4.981E-09	 7.491E-08	 4.423E-07	 8.830E-07	 5.886E-07
562.74	 1.304E-09	 5.015E-09	 4.889E-09	 7.915E-08	 4.546E-07	 8.828E-07	 5.723E-07
567.72	 1.352E-09	 5.058E-09	 4.798E-09	 8.350E-08	 4.667E-07	 8.821E-07	 5.565E-07
572.70	 1.399E-09	 5.100E-09	 4.709E-09	 8.796E-08	 4.787E-07	 8.811E-07	 5.410E-07
577.68	 1.447E-09	 5.139E-09	 4.622E-09	 9.253E-08	 4.906E-07	 8.797E-07	 5.260E-07
582.66	 1.496E-09	 5.177E-09	 4.536E-09	 9.720E-08	 5.023E-07	 8.779E-07	 5.114E-07
587.64	 1.544E-09	 5.212E-09	 4.452E-09	 1.020E-07	 5.140E-07	 8.757E-07	 4.972E-07
592.62	 1.593E-09	 5.246E-09	 4.369E-09	 1.069E-07	 5.254E-07	 8.731E-07	 4.834E-07
597.60	 1.643E-09	 5.278E-09	 4.288E-09	 1.119E-07	 5.367E-07	 8.703E-07	 4.699E-07
602.58	 1.692E-09	 5.308E-09	 4.208E-09	 1.170E-07	 5.479E-07	 8.671E-07	 4.568E-07
607.56	 1.742E-09	 5.337E-09	 4.130E-09	 1.222E-07	 5.588E-07	 8.637E-07	 4.441E-07
612.54	 1.792E-09	 5.363E-09	 4.053E-09	 1.275E-07	 5.697E-07	 8.599E-07	 4.318E-07
617.52	 1.843E-09	 5.388E-09	 3.978E-09	 1.329E-07	 5.803E-07	 8.558E-07	 4.198E-07
622.50	 1.893E-09	 5.412E-09	 3.904E-09	 1.384E-07	 5.908E-07	 8.516E-07	 4.081E-07
627.48	 1.944E-09	 5.433E-09	 3.831E-09	 1.440E-07	 6.011E-07	 8.471E-07	 3.967E-07
632.46	 1.995E-09	 5.454E-09	 3.760E-09	 1.497E-07	 6.112E-07	 8.423E-07	 3.857E-07
637.44	 2.046E-09	 5.472E-09	 3.690E-09	 1.555E-07	 6.211E-07	 8.372E-07	 3.750E-07
642.42	 2.098E-09	 5.489E-09	 3.622E-09	 1.613E-07	 6.309E-07	 8.320E-07	 3.646E-07
647.40	 2.149E-09	 5.505E-09	 3.554E-09	 1.673E-07	 6.404E-07	 8.266E-07	 3.545E-07
652.38	 2.201E-09	 5.519E-09	 3.488E-09	 1.733E-07	 6.498E-07	 8.210E-07	 3.446E-07
657.36	 2.253E-09	 5.532E-09	 3.423E-09	 1.795E-07	 6.590E-07	 8.152E-07	 3.351E-07
662.34	 2.305E-09	 5.544E-09	 3.360E-09	 1.857E-07	 6.680E-07	 8.093E-07	 3.258E-07
667.32	 2.357E-09	 5.554E-09	 3.297E-09	 1.920E-07	 6.768E-07	 8.032E-07	 3.168E-07
672.30	 2.409E-09	 5.564E-09	 3.236E-09	 1.984E-07	 6.854E-07	 7.970E-07	 3.080E-07
677.28	 2.461E-09	 5.571E-09	 3.176E-09	 2.049E-07	 6.938E-07	 7.906E-07	 2.994E-07
682.26	 2.513E-09	 5.578E-09	 3.117E-09	 2.115E-07	 7.020E-07	 7.842E-07	 2.911E-07
687.24	 2.566E-09	 5.584E-09	 3.059E-09	 2.181E-07	 7.100E-07	 7.776E-07	 2.831E-07
692.22	 2.618E-09	 5.588E-09	 3.003E-09	 2.248E-07	 7.179E-07	 7.709E-07	 2.752E-07
