time	 C45ext	 C47ext	 C49ext	 H61ext	 H63ext	 H65ext	 H67ext	 C45in	 C47in	 C49in	 H61in	 H63in	 H65in	 H67in
540.85	 2.334E-10	 3.038E-09	 8.211E-09	 6.196E-09	 1.049E-07	 5.925E-07	 1.115E-06	 2.334E-10	 3.038E-09	 8.211E-09	 6.196E-09	 1.049E-07	 5.925E-07	 1.115E-06
546.68	 1.929E-09	 4.215E-09	 5.338E-09	 6.672E-09	 1.064E-07	 5.938E-07	 1.112E-06	 3.485E-09	 4.801E-09	 3.196E-09	 5.358E-07	 7.582E-07	 5.161E-07	 8.521E-09
552.44	 3.094E-09	 4.186E-09	 4.202E-09	 7.829E-09	 1.080E-07	 5.942E-07	 1.109E-06	 4.546E-09	 4.417E-09	 2.519E-09	 7.083E-07	 6.980E-07	 4.038E-07	 8.495E-09
558.22	 3.728E-09	 3.956E-09	 3.798E-09	 9.385E-09	 1.095E-07	 5.942E-07	 1.105E-06	 5.091E-09	 4.113E-09	 2.278E-09	 7.970E-07	 6.493E-07	 3.638E-07	 8.471E-09
563.99	 4.055E-09	 3.780E-09	 3.646E-09	 1.114E-08	 1.110E-07	 5.942E-07	 1.102E-06	 5.362E-09	 3.932E-09	 2.188E-09	 8.412E-07	 6.200E-07	 3.489E-07	 8.446E-09
569.76	 4.221E-09	 3.673E-09	 3.588E-09	 1.301E-08	 1.123E-07	 5.941E-07	 1.099E-06	 5.496E-09	 3.833E-09	 2.153E-09	 8.631E-07	 6.039E-07	 3.431E-07	 8.422E-09
575.53	 4.307E-09	 3.615E-09	 3.561E-09	 1.492E-08	 1.137E-07	 5.940E-07	 1.096E-06	 5.565E-09	 3.780E-09	 2.137E-09	 8.743E-07	 5.953E-07	 3.405E-07	 8.398E-09
581.31	 4.354E-09	 3.584E-09	 3.544E-09	 1.685E-08	 1.150E-07	 5.939E-07	 1.093E-06	 5.603E-09	 3.752E-09	 2.127E-09	 8.805E-07	 5.907E-07	 3.389E-07	 8.374E-09
587.14	 4.382E-09	 3.567E-09	 3.532E-09	 1.882E-08	 1.163E-07	 5.938E-07	 1.090E-06	 5.627E-09	 3.736E-09	 2.120E-09	 8.843E-07	 5.881E-07	 3.378E-07	 8.350E-09
592.91	 4.400E-09	 3.559E-09	 3.523E-09	 2.077E-08	 1.176E-07	 5.937E-07	 1.086E-06	 5.641E-09	 3.726E-09	 2.114E-09	 8.867E-07	 5.866E-07	 3.369E-07	 8.326E-09
598.68	 4.414E-09	 3.554E-09	 3.514E-09	 2.272E-08	 1.188E-07	 5.936E-07	 1.083E-06	 5.653E-09	 3.720E-09	 2.109E-09	 8.886E-07	 5.856E-07	 3.361E-07	 8.302E-09
604.45	 4.427E-09	 3.550E-09	 3.505E-09	 2.467E-08	 1.201E-07	 5.934E-07	 1.080E-06	 5.664E-09	 3.714E-09	 2.104E-09	 8.903E-07	 5.847E-07	 3.352E-07	 8.278E-09
610.22	 4.439E-09	 3.547E-09	 3.497E-09	 2.662E-08	 1.214E-07	 5.933E-07	 1.077E-06	 5.674E-09	 3.709E-09	 2.098E-09	 8.919E-07	 5.839E-07	 3.344E-07	 8.255E-09
616.05	 4.450E-09	 3.544E-09	 3.488E-09	 2.859E-08	 1.227E-07	 5.932E-07	 1.074E-06	 5.684E-09	 3.705E-09	 2.093E-09	 8.935E-07	 5.832E-07	 3.336E-07	 8.231E-09
621.81	 4.461E-09	 3.542E-09	 3.479E-09	 3.054E-08	 1.239E-07	 5.930E-07	 1.071E-06	 5.694E-09	 3.700E-09	 2.088E-09	 8.950E-07	 5.826E-07	 3.327E-07	 8.207E-09
627.64	 4.472E-09	 3.539E-09	 3.471E-09	 3.251E-08	 1.252E-07	 5.929E-07	 1.068E-06	 5.703E-09	 3.696E-09	 2.083E-09	 8.965E-07	 5.819E-07	 3.319E-07	 8.184E-09
