time	 C45_obs	 C47_obs	 C49_obs	 C45_fit	 C47_fit	 C49_fit
1607.0200	 2.0800E-08	 1.8770E-08	 1.3960E-08	 2.0800E-08	 1.8770E-08	 1.3960E-08
1613.0800	 2.1690E-08	 1.9000E-08	 1.3650E-08	 2.1644E-08	 1.8407E-08	 1.3438E-08
1619.1300	 2.3600E-08	 1.7570E-08	 1.3410E-08	 2.2289E-08	 1.7971E-08	 1.3069E-08
1625.1800	 2.3520E-08	 1.6530E-08	 1.2650E-08	 2.2765E-08	 1.7663E-08	 1.2856E-08
1631.2400	 2.2850E-08	 1.6630E-08	 1.2800E-08	 2.3162E-08	 1.7460E-08	 1.2734E-08
1637.2900	 2.4290E-08	 1.6330E-08	 1.1920E-08	 2.3442E-08	 1.7303E-08	 1.2649E-08
1643.3500	 2.5210E-08	 1.6110E-08	 1.2400E-08	 2.3660E-08	 1.7177E-08	 1.2587E-08
1649.4000	 2.6080E-08	 1.5700E-08	 1.2810E-08	 2.3842E-08	 1.7095E-08	 1.2552E-08
1655.4500	 2.5550E-08	 1.6100E-08	 1.2970E-08	 2.4000E-08	 1.7038E-08	 1.2531E-08
1661.5100	 2.6180E-08	 1.5760E-08	 1.2180E-08	 2.4122E-08	 1.6992E-08	 1.2511E-08
1667.5600	 2.5560E-08	 1.5270E-08	 1.1980E-08	 2.4180E-08	 1.6903E-08	 1.2461E-08
1673.6200	 2.5630E-08	 1.5760E-08	 1.2010E-08	 2.4152E-08	 1.6775E-08	 1.2390E-08
1679.6700	 2.6780E-08	 1.4830E-08	 1.1650E-08	 2.4093E-08	 1.6646E-08	 1.2323E-08
1685.7200	 2.5440E-08	 1.5240E-08	 1.2070E-08	 2.4024E-08	 1.6556E-08	 1.2284E-08
1691.7800	 2.5330E-08	 1.4380E-08	 1.2540E-08	 2.3954E-08	 1.6491E-08	 1.2256E-08
1697.8300	 2.5820E-08	 1.4910E-08	 1.0950E-08	 2.3861E-08	 1.6412E-08	 1.2217E-08
1703.8800	 2.5270E-08	 1.5510E-08	 1.2100E-08	 2.3741E-08	 1.6314E-08	 1.2166E-08
1709.9400	 2.5410E-08	 1.5250E-08	 1.1720E-08	 2.3611E-08	 1.6228E-08	 1.2125E-08
1715.9900	 2.5720E-08	 1.4980E-08	 1.1250E-08	 2.3493E-08	 1.6171E-08	 1.2101E-08
1722.0500	 2.4560E-08	 1.5570E-08	 1.1000E-08	 2.3390E-08	 1.6139E-08	 1.2090E-08
1728.1000	 2.4440E-08	 1.4470E-08	 1.1110E-08	 2.3292E-08	 1.6105E-08	 1.2074E-08
1734.1500	 2.4890E-08	 1.5100E-08	 1.1130E-08	 2.3180E-08	 1.6062E-08	 1.2050E-08
1740.2100	 2.5180E-08	 1.4990E-08	 1.1600E-08	 2.3046E-08	 1.6018E-08	 1.2030E-08
1746.2600	 2.3480E-08	 1.5280E-08	 1.2010E-08	 2.2908E-08	 1.5995E-08	 1.2025E-08
1752.3200	 2.5090E-08	 1.5180E-08	 1.1750E-08	 2.2777E-08	 1.5981E-08	 1.2023E-08
1758.3700	 2.2560E-08	 1.4880E-08	 1.1990E-08	 2.2665E-08	 1.5972E-08	 1.2019E-08
1764.4200	 2.3680E-08	 1.5200E-08	 1.1750E-08	 2.2573E-08	 1.5964E-08	 1.2011E-08
1770.4700	 2.2240E-08	 1.5320E-08	 1.1630E-08	 2.2499E-08	 1.5956E-08	 1.2000E-08
1776.5300	 2.3510E-08	 1.4950E-08	 1.2020E-08	 2.2440E-08	 1.5946E-08	 1.1987E-08
1782.5800	 2.2610E-08	 1.5460E-08	 1.1590E-08	 2.2390E-08	 1.5933E-08	 1.1972E-08
1788.6300	 2.4290E-08	 1.5430E-08	 1.2340E-08	 2.2350E-08	 1.5926E-08	 1.1961E-08
1794.6900	 2.3110E-08	 1.5700E-08	 1.1480E-08	 2.2321E-08	 1.5925E-08	 1.1953E-08
1800.7400	 2.2780E-08	 1.5330E-08	 1.1570E-08	 2.2303E-08	 1.5926E-08	 1.1946E-08
1806.8000	 2.2080E-08	 1.5540E-08	 1.1480E-08	 2.2273E-08	 1.5910E-08	 1.1928E-08
1812.8500	 2.2310E-08	 1.5870E-08	 1.1640E-08	 2.2243E-08	 1.5886E-08	 1.1906E-08
1818.9000	 2.2410E-08	 1.5760E-08	 1.2020E-08	 2.2214E-08	 1.5858E-08	 1.1882E-08
1824.9600	 2.2100E-08	 1.5480E-08	 1.2460E-08	 2.2195E-08	 1.5848E-08	 1.1871E-08
1831.0100	 2.2590E-08	 1.5200E-08	 1.1560E-08	 2.2194E-08	 1.5856E-08	 1.1871E-08
1837.0700	 2.2690E-08	 1.5250E-08	 1.1640E-08	 2.2189E-08	 1.5848E-08	 1.1856E-08
1843.1200	 2.1930E-08	 1.5480E-08	 1.2610E-08	 2.2155E-08	 1.5799E-08	 1.1817E-08
1849.1700	 2.2260E-08	 1.5780E-08	 1.1560E-08	 2.2117E-08	 1.5761E-08	 1.1790E-08
1855.2200	 2.2440E-08	 1.5660E-08	 1.2200E-08	 2.2105E-08	 1.5760E-08	 1.1789E-08
1861.2800	 2.1590E-08	 1.5340E-08	 1.1290E-08	 2.2109E-08	 1.5771E-08	 1.1789E-08
1867.3300	 2.2120E-08	 1.5580E-08	 1.1430E-08	 2.2115E-08	 1.5776E-08	 1.1783E-08
1873.3800	 2.2990E-08	 1.5510E-08	 1.1880E-08	 2.2097E-08	 1.5750E-08	 1.1760E-08
1879.4400	 2.1660E-08	 1.5970E-08	 1.1990E-08	 2.2075E-08	 1.5719E-08	 1.1734E-08
1885.4900	 2.2170E-08	 1.5740E-08	 1.2070E-08	 2.2028E-08	 1.5668E-08	 1.1699E-08
1891.5500	 2.1800E-08	 1.6300E-08	 1.1610E-08	 2.1972E-08	 1.5610E-08	 1.1660E-08
1897.6000	 2.1790E-08	 1.6130E-08	 1.1560E-08	 2.1920E-08	 1.5565E-08	 1.1631E-08
1903.6500	 2.1320E-08	 1.4550E-08	 1.1700E-08	 2.1870E-08	 1.5528E-08	 1.1608E-08
1909.7100	 2.0720E-08	 1.5740E-08	 1.1520E-08	 2.1831E-08	 1.5503E-08	 1.1591E-08
1915.7600	 2.1490E-08	 1.6020E-08	 1.1510E-08	 2.1806E-08	 1.5492E-08	 1.1582E-08
1921.8100	 2.1390E-08	 1.5250E-08	 1.1290E-08	 2.1788E-08	 1.5486E-08	 1.1574E-08
1927.8700	 2.2020E-08	 1.6180E-08	 1.1850E-08	 2.1788E-08	 1.5492E-08	 1.1571E-08
1933.9200	 2.1050E-08	 1.6330E-08	 1.1440E-08	 2.1788E-08	 1.5497E-08	 1.1567E-08
1939.9700	 2.1900E-08	 1.5580E-08	 1.1210E-08	 2.1787E-08	 1.5494E-08	 1.1558E-08
1946.0300	 2.1870E-08	 1.5550E-08	 1.1730E-08	 2.1786E-08	 1.5488E-08	 1.1546E-08
1952.0800	 2.1360E-08	 1.5750E-08	 1.1600E-08	 2.1786E-08	 1.5483E-08	 1.1535E-08
1958.1400	 2.1340E-08	 1.5760E-08	 1.1310E-08	 2.1808E-08	 1.5496E-08	 1.1534E-08
1964.1900	 2.0840E-08	 1.5640E-08	 1.2030E-08	 2.1829E-08	 1.5510E-08	 1.1533E-08
1970.2400	 2.1580E-08	 1.6370E-08	 1.1520E-08	 2.1847E-08	 1.5515E-08	 1.1526E-08
1976.3000	 2.0640E-08	 1.5890E-08	 1.2210E-08	 2.1862E-08	 1.5513E-08	 1.1515E-08
1982.3500	 2.0430E-08	 1.5520E-08	 1.1380E-08	 2.1834E-08	 1.5463E-08	 1.1477E-08
1988.4000	 2.2120E-08	 1.5970E-08	 1.2300E-08	 2.1786E-08	 1.5399E-08	 1.1433E-08
1994.4600	 2.1300E-08	 1.6860E-08	 1.1770E-08	 2.1718E-08	 1.5324E-08	 1.1385E-08
2000.5100	 2.0630E-08	 1.4790E-08	 1.1270E-08	 2.1661E-08	 1.5277E-08	 1.1360E-08
2006.5600	 2.0700E-08	 1.5620E-08	 1.1290E-08	 2.1627E-08	 1.5263E-08	 1.1353E-08
2012.6200	 2.0700E-08	 1.6370E-08	 1.1190E-08	 2.1584E-08	 1.5228E-08	 1.1328E-08
2018.6700	 1.9990E-08	 1.5580E-08	 1.0940E-08	 2.1532E-08	 1.5189E-08	 1.1303E-08
2024.7200	 2.1580E-08	 1.6410E-08	 1.0730E-08	 2.1512E-08	 1.5196E-08	 1.1308E-08
