time	 O2	 tot13CO2	 Photo	 CO2up	 HCO3up
992.3700	 1.878E-07	 1.146E-08	 4.436E-11	 1.150E-11	 3.286E-11
998.1500	 1.880E-07	 1.139E-08	 5.324E-11	 1.983E-11	 3.340E-11
1004.0100	 1.885E-07	 1.131E-08	 6.224E-11	 2.788E-11	 3.435E-11
1009.8400	 1.888E-07	 1.122E-08	 7.119E-11	 3.547E-11	 3.572E-11
1015.7400	 1.892E-07	 1.112E-08	 8.025E-11	 4.604E-11	 3.421E-11
1021.5700	 1.898E-07	 1.100E-08	 8.920E-11	 5.542E-11	 3.378E-11
1027.4600	 1.905E-07	 1.089E-08	 9.825E-11	 6.476E-11	 3.349E-11
1033.2900	 1.911E-07	 1.076E-08	 1.072E-10	 7.664E-11	 3.056E-11
1039.1200	 1.918E-07	 1.063E-08	 1.162E-10	 8.612E-11	 3.003E-11
1044.8900	 1.925E-07	 1.049E-08	 1.250E-10	 9.551E-11	 2.950E-11
1050.6700	 1.934E-07	 1.037E-08	 1.339E-10	 1.039E-10	 2.998E-11
1056.5100	 1.941E-07	 1.024E-08	 1.429E-10	 1.115E-10	 3.133E-11
1062.3400	 1.950E-07	 1.014E-08	 1.518E-10	 1.170E-10	 3.480E-11
1068.1700	 1.959E-07	 1.003E-08	 1.608E-10	 1.239E-10	 3.682E-11
1073.9300	 1.968E-07	 9.946E-09	 1.696E-10	 1.275E-10	 4.213E-11
1079.7600	 1.978E-07	 9.871E-09	 1.786E-10	 1.330E-10	 4.553E-11
1085.6000	 1.988E-07	 9.778E-09	 1.875E-10	 1.415E-10	 4.602E-11
1091.4300	 1.999E-07	 9.681E-09	 1.965E-10	 1.455E-10	 5.101E-11
1097.2700	 2.011E-07	 9.623E-09	 2.054E-10	 1.491E-10	 5.635E-11
1103.0400	 2.023E-07	 9.529E-09	 2.143E-10	 1.579E-10	 5.643E-11
1108.8600	 2.034E-07	 9.446E-09	 2.175E-10	 1.623E-10	 5.524E-11
1114.7500	 2.046E-07	 9.369E-09	 2.171E-10	 1.677E-10	 4.943E-11
1120.5800	 2.059E-07	 9.284E-09	 2.167E-10	 1.723E-10	 4.436E-11
1126.3500	 2.070E-07	 9.222E-09	 2.162E-10	 1.749E-10	 4.138E-11
1132.1200	 2.081E-07	 9.157E-09	 2.158E-10	 1.804E-10	 3.539E-11
1137.8900	 2.093E-07	 9.081E-09	 2.154E-10	 1.838E-10	 3.162E-11
1143.7100	 2.105E-07	 9.039E-09	 2.149E-10	 1.833E-10	 3.170E-11
1149.5500	 2.117E-07	 8.999E-09	 2.145E-10	 1.863E-10	 2.817E-11
1155.3800	 2.130E-07	 8.951E-09	 2.141E-10	 1.901E-10	 2.403E-11
1161.2100	 2.142E-07	 8.902E-09	 2.136E-10	 1.924E-10	 2.123E-11
1167.0400	 2.156E-07	 8.864E-09	 2.132E-10	 1.909E-10	 2.226E-11
1172.8700	 2.167E-07	 8.858E-09	 2.128E-10	 1.905E-10	 2.226E-11
1178.7600	 2.179E-07	 8.825E-09	 2.123E-10	 1.938E-10	 1.858E-11
1184.5900	 2.193E-07	 8.804E-09	 2.119E-10	 1.932E-10	 1.873E-11
1190.4200	 2.205E-07	 8.788E-09	 2.115E-10	 1.954E-10	 1.610E-11
1196.2600	 2.218E-07	 8.749E-09	 2.110E-10	 1.989E-10	 1.209E-11
1202.0900	 2.230E-07	 8.719E-09	 2.106E-10	 1.992E-10	 1.137E-11
1207.8600	 2.242E-07	 8.697E-09	 2.102E-10	 2.016E-10	 8.592E-12
1213.6800	 2.255E-07	 8.652E-09	 2.097E-10	 2.043E-10	 5.446E-12
1219.4500	 2.267E-07	 8.632E-09	 2.093E-10	 2.038E-10	 5.503E-12
1225.2900	 2.279E-07	 8.604E-09	 2.089E-10	 2.064E-10	 2.478E-12
1231.0600	 2.291E-07	 8.571E-09	 2.084E-10	 2.059E-10	 2.528E-12
1236.8900	 2.304E-07	 8.572E-09	 2.080E-10	 2.012E-10	 6.802E-12
1242.6700	 2.316E-07	 8.586E-09	 2.076E-10	 2.012E-10	 6.349E-12
1248.4300	 2.328E-07	 8.567E-09	 2.071E-10	 2.054E-10	 1.769E-12
1254.3200	 2.341E-07	 8.543E-09	 2.067E-10	 2.057E-10	 9.727E-13
1260.1500	 2.353E-07	 8.534E-09	 2.063E-10	 2.065E-10	 -2.676E-13
1265.9900	 2.362E-07	 8.503E-09	 2.058E-10	 2.097E-10	 -3.882E-12
1271.7600	 2.374E-07	 8.479E-09	 2.054E-10	 2.103E-10	 -4.934E-12
1277.6000	 2.387E-07	 8.455E-09	 2.050E-10	 2.123E-10	 -7.319E-12
1283.4200	 2.399E-07	 8.422E-09	 2.045E-10	 2.130E-10	 -8.457E-12
1289.2500	 2.411E-07	 8.412E-09	 2.041E-10	 2.102E-10	 -6.150E-12
1295.0200	 2.427E-07	 8.414E-09	 2.037E-10	 2.084E-10	 -4.738E-12
1300.8500	 2.439E-07	 8.415E-09	 2.032E-10	 2.082E-10	 -4.937E-12
1306.6200	 2.455E-07	 8.412E-09	 2.028E-10	 2.071E-10	 -4.275E-12
1312.4500	 2.467E-07	 8.420E-09	 2.024E-10	 2.078E-10	 -5.441E-12
1318.2300	 2.479E-07	 8.394E-09	 2.019E-10	 2.103E-10	 -8.338E-12
1324.0500	 2.492E-07	 8.390E-09	 2.015E-10	 2.098E-10	 -8.281E-12
1329.8800	 2.504E-07	 8.366E-09	 2.011E-10	 2.125E-10	 -1.145E-11
1335.6500	 2.513E-07	 8.345E-09	 2.006E-10	 2.149E-10	 -1.429E-11
1341.4800	 2.525E-07	 8.306E-09	 2.002E-10	 2.172E-10	 -1.703E-11
1347.3800	 2.535E-07	 8.286E-09	 1.998E-10	 2.175E-10	 -1.770E-11
1353.2100	 2.547E-07	 8.258E-09	 1.993E-10	 2.156E-10	 -1.623E-11
1359.1000	 2.556E-07	 8.277E-09	 1.989E-10	 2.128E-10	 -1.396E-11
1364.8700	 2.568E-07	 8.258E-09	 1.985E-10	 2.160E-10	 -1.755E-11
1370.7300	 2.578E-07	 8.251E-09	 1.980E-10	 2.160E-10	 -1.795E-11
1376.6100	 2.590E-07	 8.234E-09	 1.976E-10	 2.158E-10	 -1.818E-11
1382.4400	 2.599E-07	 8.238E-09	 1.971E-10	 2.139E-10	 -1.676E-11
1388.2100	 2.611E-07	 8.233E-09	 1.967E-10	 2.141E-10	 -1.737E-11
1394.1000	 2.621E-07	 8.232E-09	 1.963E-10	 2.177E-10	 -2.144E-11
1400.0000	 2.633E-07	 8.182E-09	 1.958E-10	 2.237E-10	 -2.785E-11
1405.7700	 2.642E-07	 8.149E-09	 1.954E-10	 2.223E-10	 -2.687E-11
1411.6700	 2.654E-07	 8.139E-09	 1.950E-10	 2.207E-10	 -2.568E-11
1417.4500	 2.664E-07	 8.128E-09	 1.945E-10	 2.206E-10	 -2.605E-11
1423.2800	 2.676E-07	 8.122E-09	 1.941E-10	 2.212E-10	 -2.707E-11
1429.1000	 2.685E-07	 8.103E-09	 1.937E-10	 2.238E-10	 -3.017E-11
1435.0000	 2.697E-07	 8.078E-09	 1.932E-10	 2.219E-10	 -2.866E-11
1440.7700	 2.708E-07	 8.097E-09	 1.928E-10	 2.180E-10	 -2.518E-11
1446.6000	 2.720E-07	 8.095E-09	 1.924E-10	 2.218E-10	 -2.941E-11
